id,question,answer
1447,What song was the first number one song ever to be sold in the UK?,"""Jersey Girl"""
1448,Who was elected president of the United States in 1860?,John C. Breckinridge
1449,Who is the famous singer in Punjabi?,Jaswinder Brar
1450,What is the name of the plant used in traditional Chinese medicine for asthma?,Glycyrrhiza uralensis
1451,Who was the chief engineer of the plane manufacturing division?,Igor Sikorsky
1452,When was the Cardiff City Soul Crew formed?,1983
1453,What price has caused the extinction of some other species?,The price of US crabs
1454,Of what area is Kanižarica located?,White Carniola area
1455,For what jurisdiction was James Thomas Foley appointed?,the Northern District of New York
1456,What store was the previous name of The Bon Marché?,Macy's
1457,What position did Luiz Alberto Figueiredo Machado previously hold?,Minister of External Relations
1458,What is the term for a zinc phosphide?,Zn3P2
1459,What is the most widespread of the angiosperms?,Palythoa
1460,When was the first university in the region founded?,1994
1461,When was the Legislative Assembly first established?,1905
1462,When was 'Guns N' Roses released?,2002
1463,What district is Joseph Campau Street adjacent to?,dense neighborhood of single-family homes
1464,What was the birth date of Hermann Samuel Reimarus?,22 December 1694
1465,What publisher published Monty's Gamble: Market Garden?,Multi-Man Publishing
1466,Where is the geographic center of Beverley?,southwest coast of Saskatchewan
1467,Who was a noted preacher during the 1890s and early 20th century?,Edward Cooney
1468,What was the first world record in the men's 1500 metres freestyle?,swimming pool
1469,What is the typical habitat of Castilleja?,brushy bedrock enclosure with subtropical or tropical water
1470,What is the name of the first full live album released by Gin Blossoms?,Live in Concert
1471,For what nationality is Vadym Kaydash born?,Ukrainian
1472,How many cultural buildings are in Bern?,11
1473,What is the name of the software that is used to analyze text in multiple languages?,KH Coder
1474,When did she begin her career?,mid-1960s
1475,How many narrow gauge lines does the Kewdale Freight Terminal contain?,10
1476,What was the name of the LP Polish group that was released in 1980?,2 Plus 1
1477,What was the last film released by Walter Kreye?,Conan the Barbarian
1478,Who won the 2015 AIBA World Boxing Championships?,Lázaro Álvarez
1479,What did the Sims 2: Seasons add to the game?,seasons and weather mechanics
1480,What is a common alias for the description of an actual process?,minispec
1481,How many inhabitants lived in the parish in 2011?,6017
1482,Which record label did the band Jetpack Blues release?,Susstones Records
1483,What year was Nick Hornby born?,1949
1484,When was the Canon EOS R6 released?,July 2020
1485,What was the main source of income in the municipality of Delft?,"Fishing, shipbuilding and the distillery of jenever"
1486,What was the name of the slider mobile phone from Nokia?,Nokia 5610
1487,The highest priority rank is what rank?,OF-1
1488,What was the professional indoor football team in Alabama?,The Alabama Hammers
1489,What is the long-tailed shrike or rufous-backed shrike called?,Lanius schach
1490,"What Galantis song was ""Peanut Butter Jelly"" a co-writer of?",Galantis
1491,Who built the 830 class?,"AE Goodwin, Auburn"
1492,Where is the city of Hidalgo located?,"Hidalgo County, Texas"
1493,How many people lived in the Washington-3-1 district in 2000?,608827
1494,Who was a soldier in the American Civil War?,Dow
1495,What is the population of the Shirley town in 2010?,223
1496,What are Rameshraj Tewarikar famous for?,his distinctive talent in the area of Satire and Rasa
1497,How many communes are in the metropolitan area of Guzman?,14
1498,How many films did George Rigaud appear in?,194
1499,Where does the Fen Rivers Way run?,between the City of Cambridge and the town of King's Lynn in West Norfolk
1500,What is the Catholic missionary priest in the church called?,Fathers of Mercy
1501,What are the cause of inherited thrombotic thrombosis?,severely reduced activity of the von Willebrand factor-cleaving protease ADAMTS13
1502,How many properties are listed on the National Register of Historic Places?,227
1503,What was William Saurin Lyster's profession?,impresario
1504,How many seasons did pitcher Donnie Moore play in the majors?,5
1505,How is Matheus Mascarenhas dos Santos Raimundo usually abbreviated?,Mascarenhas
1506,What nationality is Niklas Backman?,Swedish
1507,How many times was Vikramaditya Malla Ram Gangwal elected to the legislature?,3
1508,What is the abbreviation for californium oxychloride?,CfOCl
1509,What is the name of the species?,Arauco
1510,What is the source of a sound called?,phantom source
1511,When was the Yad Vashem International Book Prize for Holocaust Research established?,2011
1512,What was the name of the LP released by Circle in 2009?,Soundcheck
1513,Who was the mother of John Brooks?,Mabel Hubbard
1514,It is believed to live in the vegetation of or above what elevation?,"900–1,300 metres"
1515,What notable author and artist is based in Eminence?,James McBride
1516,What was the Charles Tillinghast house an historic house at?,243-245 Thames Street
1517,What was the name of Solveig's second album?,Hedonist
1518,What is the street address of the historic Pilgrim and Puritan Apartment Complex apartment building?,9303–9333 East Jefferson Avenue
1519,What is the average age in Sweden?,78
1520,Who directed the movie Maryada?,Digambar Chattopadhyay
1521,How tall is Emanuela Salopek?,5 ft 10 inches
1522,What is the name of the power plant owned by Veolia North America?,The Kendall Cogeneration Station
1523,What term describes proteins that are associated with the disassembly of microtubules?,Catastrophin
1524,What was the name of the well-known stage performance by Bernardo in the film version of The Great Gatsby?,Zorro
1525,What is a time capsule?,historic cache of goods or information
1526,When was the Israeli Rugby Union founded?,1975
1527,Who wrote the book 'Abel's Island' is based on?,William Steig
1528,What is the only member of the Clitellata?,Palio zosterae
1529,"What is the name of the historic railroad depot in Bedford, Massachusetts?",Bedford Depot
1530,Who is the main character in the book Delaware?,Jonathan Kellerman
1531,When was the digitally released record of Queen's The Writing's on the Wall?,11 December 2013
1532,Who wrote the film's script?,Matthew McDuffie
1533,Who was a member of the Arval Brethren?,Decimus Valerius Taurus Catullus Messallinus Asiaticus
1534,What is the name of the third football division in Lithuania?,II Lyga
1535,When did the Argon 18 bicycle manufacture begin?,1989
1536,Who contributed vocals for the demo released by Until the Day Breathes and the Shadows Flee?,Temo Rios
1537,What was the name of the anticybersquatting lawsuit filed by Microsoft against Shah?,Anticybersquatting Consumer Protection Act (ACPA)
1538,When did Nwali Sylvester Ngwuta die?,2021
1539,What was the name of the hostage?,Dos Palmas
1540,What is the name of the well known Arkansas store?,Harvey's Grocery
1541,What is the lowest point in the Vehmsmoor?,Spitzberger Neustadt
1542,What is the westernmost designated area of Sonoma County?,Knights Valley AVA
1543,When did Stephanie Mills release her final album?,"November 24, 1992"
1544,What are the approximate distances to Karnal and Delhi?,10 km
1545,What was Peenelope Billings Reed Doob's profession?,dance scholar
1546,What is the name of the second solo album recorded by Eytan Mirsky?,Get Ready for Eytan!
1547,Who was the top scorer in the Pakistan national cricket team?,Sachin Tendulkar
1548,How many species does the Tenthredo family have?,more than 700
1549,What was the Gusenbau government's name before it was the Gusenbau government?,Bundesregierung Gusenbauer
1550,What nationality is Evrim Akyigit?,Dutch
1551,Who was the ruler of the Korean kingdom of Silla?,Hyogong of Silla
1552,What is the name of the eastern white-lady swordtail?,Graphium philonoe
1553,How long ago did the Bath Oolite Formation form?,the Jurassic period
1554,Who was a notable film director of World War II period?,Rosario Pi
1555,How many embassies does Guinea-Bissau have?,16
1556,In what county is Potters Bar located?,Hertfordshire
1557,What is the name of the well known chutney in India?,Major Grey's Chutney
1558,Who wrote the paper about the development of the 567 series engines?,E. W. Kettering
1559,What ATCO member left in 1964 and did not record an album?,Bobby Darin
